id,label,weight,modularity_class,componentnumber
'19718',CDG JP INTERCIT,5,53,0
'19713',JP SC EXP      ,2.5,49,0
'19712',BPL JAIPUR EXP ,3.333333333,53,0
'19711',JP BPL EXP     ,3.333333333,53,0
'19710',KYQ JP KAVIGURU,0.714285714,0,0
'19717',JP CDG INTERCIT,5,53,0
'22462',SHRI SHAKTI EXP,0.52631579,0,0
'22461',SHRI SHAKTI EXP,0.52631579,0,0
'19714',SC JP EXP      ,2.5,49,0
'18447',HIRAKHAND EXP  ,5,10,0
'18242',ABKP DURG PAS E,2.5,49,0
'13021',MITHILA EXPRESS,5,0,0
'13020',BAGH EXPRESS   ,5,0,0
'19409',GORAKHPUR EXP  ,5,53,0
'19408',BSB ADI EXP    ,0.416666667,53,0
'19407',ADI VARANASI EX,0.416666667,53,0
'19404',SLN ADI EXP    ,0.454545455,53,0
'19403',SULTANPUR EXP  ,0.454545455,53,0
'19402',LKO ADI EXP    ,1.666666667,53,0
'19401',ADI LUCKNOW EXP,1.666666667,53,0
'00852',BNC BBS SUVIDHA,0.142857143,10,0
'00851',BNC SUVIDHA SPL,0.142857143,10,0
'19716',LJN JP EXP     ,1.666666667,53,0
'12701',HUSAINSAGAR EXP,0.714285714,49,0
'12703',FALAKNUMA EXP  ,0.384615385,10,0
'12702',HUSSAINSAGAR EX,0.714285714,49,0
'12705',GNT SC EXP     ,0.833333333,10,0
'12704',FALAKNUMA EXP  ,0.384615385,10,0
'12707',A P SMPRK KRNTI,0.277777778,49,0
'12706',SC GNT EXP     ,0.833333333,10,0
'12709',SIMHAPURI EXP  ,1.666666667,10,0
'12708',AP SMPRK KRANTI,0.277777778,49,0
'17651',KACHEGUDA  EXP ,1.666666667,17,0
'17652',KCG MS EXP     ,1.666666667,17,0
'21108',BSB KURJ LINK E,2.5,49,0
'06335',GHY KCVL SPECIA,0.769230769,10,0
'22484',JODHPUR EXPRESS,1.666666667,53,0
'22487',RDP ANVT LINK E,2.5,0,0
'06336',GUWAHATI EXP   ,0.769230769,10,0
'22481',JU DEE SUP     ,5,53,0
'12018',DEHRADUN SHTBDI,0.277777778,0,0
'22483',JU GIMB SF EXP ,1.666666667,53,0
'22482',DEE JU SUP     ,5,53,0
'12015',AJMER SHTBDI   ,0.166666667,53,0
'12014',AMRITSAR SHTBDI,0.208333333,0,0
'12017',DEHRADUN SHTBDI,0.277777778,0,0
'12016',AJMER SHTBDI   ,0.166666667,53,0
'12011',KALKA SHTBDI   ,0.37037037,0,0
'12010',SHATABDI EXP   ,0.23255814,53,0
'12013',AMRITSAR SHTBDI,0.208333333,0,0
'12012',KALKA SHTBDI   ,0.37037037,0,0
'19577',HAPA EXPRESS   ,2.5,53,0
'19576',NDT OKHA EXP   ,1.666666667,53,0
'19575',OKHA  NDT EXP  ,1.666666667,53,0
'16382',CAPE MUMBAI EXP,1,17,0
'19573',JAIPUR EXPRESS ,0.714285714,53,0
'19570',BSB OKHA EXP   ,0.333333333,53,0
'17250',MACHILIPTNM EXP,5,10,0
'51118',DHI CSN PASS   ,5,49,0
'17256',NARASAPUR EXP  ,2.5,10,0
'19578',HAPA TEN EXPRES,2.5,53,0
'15205',CHITRAKUT  EXP ,3.333333333,49,0
'17032',MUMBAI EXP     ,1.25,49,0
'19715',JP LJN EXP     ,1.666666667,53,0
'57478',GTL TPTY PASS  ,5,17,0
'17035',KAGHAZNAGAR EXP,2.5,10,0
'17036',KAGHAZNAGAR EXP,2.5,10,0
'12524',NDLS NJP SF EXP,5,0,0
'17038',BKN SC EXP     ,0.666666667,53,0
'57477',TPTY GTL PASS  ,5,17,0
'22908',HAPA MADGAON EX,0.666666667,53,0
'22909',BL  PURI S F EX,1,53,0
'15206',CHITRAKUT EXP  ,3.333333333,49,0
'56903',SUR DHARWAR PAS,5,17,0
'22901',UDZ SUPER FAST ,1.111111111,53,0
'22902',UDZ BDTS SUP   ,1.111111111,53,0
'15484',MAHANANDA EXP  ,2.5,0,0
'22904',BDTS AC S F EXP,0.625,53,0
'22905',OKHA HOWRAH EXP,0.333333333,53,0
'56909',HOSPET PASSR   ,5,17,0
'22907',MAO HAPA SUP EX,0.666666667,53,0
'22104',FD LTT SF EXP  ,1.428571429,49,0
'15203',BJU LJN EXP    ,5,0,0
'12992',JP UDZ EXP     ,5,53,0
'12129',AZAD HIND EXP  ,0.333333333,49,0
'12128',INTERCITY EXP  ,0.099009901,49,0
'11088',PUNE VERAVAL EX,1.25,53,0
'12121',M P SMPRK KRNTI,0.175438597,49,0
'12123',DECCAN QUEEN   ,0.454545455,49,0
'12122',M P SMPRK KRNTI,0.175438597,49,0
'12125',PRAGATI EXPRESS,0.454545455,49,0
'12124',DECCAN QUEEN   ,0.099009901,49,0
'12127',INTERCITY EXP  ,0.454545455,49,0
'12126',PRAGATI EXPRESS,0.434782609,49,0
'58839',NGP NIR JBP PAS,5,49,0
'18452',TAPASWINI EXPRE,2.5,10,0
'18451',TAPASWINI EXPRE,2.5,10,0
'18450',B NATH DHAM EXP,3.333333333,0,0
'11266',ABKP JBP EXPRES,1.666666667,49,0
