Source,Target,Type,Weight
AAG,WKA,Undirected,2
AAL,BUH,Undirected,18
AAL,PRDL,Undirected,1
AAM,PKQ,Undirected,2
AAS,JWL,Undirected,4
AAY,NCJ,Undirected,6
AB,JTJ,Undirected,12
AB,VN,Undirected,13
AB,VLT,Undirected,2
ABD,SAU,Undirected,2
ABD,GGM,Undirected,2
ABFC,DDJ,Undirected,1
ABFC,NJP,Undirected,1
ABH,BUD,Undirected,6
ABI,KQN,Undirected,2
ABKA,NDAE,Undirected,14
ABKA,BDC,Undirected,12
ABKA,BGRA,Undirected,1
ABLE,MKP,Undirected,1
ABP,AY,Undirected,10
ABP,GGJ,Undirected,21
ABP,FD,Undirected,8
ABP,BSB,Undirected,2
ABP,JNU,Undirected,2
ABR,PNU,Undirected,84
ABR,AII,Undirected,2
ABR,SOH,Undirected,29
ABR,ADI,Undirected,4
ABR,JU,Undirected,2
ABR,VTJ,Undirected,1
ABR,SRPJ,Undirected,2
ABR,MXO,Undirected,2
ABS,SGNR,Undirected,14
ABS,PUL,Undirected,1
ABS,DHPR,Undirected,1
ABS,PKK,Undirected,1
ABZ,AKOT,Undirected,4
ACL,BHNE,Undirected,1
ACLE,MPLR,Undirected,2
ACND,FD,Undirected,13
AD,GTL,Undirected,50
AD,NRR,Undirected,4
ADB,MJRI,Undirected,5
ADB,PMKT,Undirected,3
ADD,VXD,Undirected,4
ADF,NH,Undirected,1
ADH,BVI,Undirected,24
ADH,CDG,Undirected,1
ADH,BHL,Undirected,1
ADI,ND,Undirected,104
ADI,MHD,Undirected,4
ADI,PUNE,Undirected,1
ADI,ANND,Undirected,29
ADI,SBI,Undirected,36
ADI,ALMR,Undirected,1
ADI,CLDY,Undirected,5
ADI,CVR,Undirected,1
ADI,JVN,Undirected,4
ADI,SIOB,Undirected,2
ADIJ,ASV,Undirected,1
ADL,KUR,Undirected,2
ADL,DKAE,Undirected,2
ADQ,NAK,Undirected,2
ADR,BHT,Undirected,2
ADRA,BQA,Undirected,30
ADRA,BJE,Undirected,2
ADRA,ANR,Undirected,8
ADRA,SNTD,Undirected,4
ADRA,BURN,Undirected,4
ADRA,KQR,Undirected,1
ADRA,GRB,Undirected,2
ADRA,SNKR,Undirected,2
ADST,MUG,Undirected,1
ADT,KMU,Undirected,6
ADTL,DOE,Undirected,4
ADTP,KND,Undirected,3
ADTP,WKI,Undirected,1
ADTP,BGS,Undirected,1
ADVI,RAJP,Undirected,2
ADVI,VID,Undirected,4
AED,FTS,Undirected,2
AEL,RE,Undirected,2
AF,IDH,Undirected,18
AF,AH,Undirected,10
AF,SWM,Undirected,4
AF,CNB,Undirected,1
AF,AGC,Undirected,2
AF,JAB,Undirected,4
AFK,AWY,Undirected,44
AFR,CH,Undirected,2
AFR,SSKA,Undirected,2
AGA,RKM,Undirected,6
AGA,IDH,Undirected,2
AGA,TDL,Undirected,2
AGA,ALJN,Undirected,2
AGB,AGZ,Undirected,2
AGC,GWL,Undirected,61
AGC,PWL,Undirected,4
AGC,RKM,Undirected,52
AGC,MTJ,Undirected,61
AGC,NZM,Undirected,17
AGC,NDLS,Undirected,5
AGC,TKD,Undirected,1
AGC,DSJ,Undirected,2
AGC,DKJ,Undirected,1
AGC,DWR,Undirected,1
AGC,AGA,Undirected,2
AGC,TDL,Undirected,2
AGC,BZU,Undirected,1
AGD,MAKR,Undirected,4
AGD,JHS,Undirected,2
AGI,NMT,Undirected,6
AGI,SLGR,Undirected,4
