Id,Label
BBS ,BBS 
BAM ,BAM 
VSKP,VSKP
BZA ,BZA 
RU  ,RU  
JTJ ,JTJ 
BNC ,BNC 
DR  ,DR  
TNA ,TNA 
KYN ,KYN 
IGP ,IGP 
NK  ,NK  
CSN ,CSN 
JL  ,JL  
BSL ,BSL 
PC  ,PC  
JMD ,JMD 
SHF ,SHF 
DHI ,DHI 
NGN ,NGN 
MMR ,MMR 
LS  ,LS  
DVL ,DVL 
KSRA,KSRA
CSTM,CSTM
JM  ,JM  
PVR ,PVR 
KMN ,KMN 
KWV ,KWV 
JEUR,JEUR
BGVN,BGVN
DD  ,DD  
ANG ,ANG 
BAP ,BAP 
KPG ,KPG 
BDWD,BDWD
MKU ,MKU 
NN  ,NN  
SEG ,SEG 
AK  ,AK  
MZR ,MZR 
BD  ,BD  
NAVI,NAVI
SUR ,SUR 
MO  ,MO  
MA  ,MA  
BTW ,BTW 
UMD ,UMD 
LUR ,LUR 
LTRR,LTRR
PRLI,PRLI
PBN ,PBN 
PAU ,PAU 
HNL ,HNL 
WHM ,WHM 
CND ,CND 
DMN ,DMN 
PLO ,PLO 
WR  ,WR  
NGP ,NGP 
KOP ,KOP 
RKD ,RKD 
HTK ,HTK 
MRJ ,MRJ 
KVK ,KVK 
DLGN,DLGN
SGLA,SGLA
MLB ,MLB 
PNF ,PNF 
GNH ,GNH 
ARAG,ARAG
SGRE,SGRE
JTRD,JTRD
PUNE,PUNE
KNW ,KNW 
HD  ,HD  
ET  ,ET  
PPI ,PPI 
NU  ,NU  
MML ,MML 
JBP ,JBP 
GAR ,GAR 
LTT ,LTT 
HBD ,HBD 
HBJ ,HBJ 
BINA,BINA
JHS ,JHS 
ORAI,ORAI
CNB ,CNB 
LKO ,LKO 
KPD ,KPD 
MAS ,MAS 
DVD ,DVD 
VZM ,VZM 
KUR ,KUR 
BHC ,BHC 
KGP ,KGP 
HWH ,HWH 
RPH ,RPH 
MLDT,MLDT
KNE ,KNE 
NJP ,NJP 
NBQ ,NBQ 
KYQ ,KYQ 
GLPT,GLPT
PSA ,PSA 
PNVL,PNVL
G   ,G   
DURG,DURG
R   ,R   
BSP ,BSP 
JSG ,JSG 
ROU ,ROU 
CKP ,CKP 
PRR ,PRR 
JOC ,JOC 
ASN ,ASN 
UDL ,UDL 
RQJ ,RQJ 
NCB ,NCB 
NOQ ,NOQ 
SC  ,SC  
KZJ ,KZJ 
BPQ ,BPQ 
LJN ,LJN 
GD  ,GD  
BST ,BST 
GKP ,GKP 
VSG ,VSG 
MAO ,MAO 
SVM ,SVM 
QLM ,QLM 
CLR ,CLR 
LD  ,LD  
LWR ,LWR 
DWR ,DWR 
UBL ,UBL 
HVR ,HVR 
RNR ,RNR 
HRR ,HRR 
DVG ,DVG 
JRU ,JRU 
RRB ,RRB 
DRU ,DRU 
ASK ,ASK 
TTR ,TTR 
AMSA,AMSA
TK  ,TK  
YPR ,YPR 
SBC ,SBC 
CBE ,CBE 
ERS ,ERS 
AKP ,AKP 
SLO ,SLO 
RJY ,RJY 
TPTY,TPTY
EE  ,EE  
OGL ,OGL 
NLR ,NLR 
GDR ,GDR 
KJM ,KJM 
SBG ,SBG 
PPT ,PPT 
CLG ,CLG 
EKC ,EKC 
GGA ,GGA 
BGP ,BGP 
AKN ,AKN 
SGG ,SGG 
BUP ,BUP 
JMP ,JMP 
DRH ,DRH 
AHA ,AHA 
KJH ,KJH 
KIUL,KIUL
LKR ,LKR 
BRYA,BRYA
HTZ ,HTZ 
MKA ,MKA 
BARH,BARH
ATL ,ATL 
BKP ,BKP 
KOO ,KOO 
FUT ,FUT 
PNC ,PNC 
RJPB,RJPB
PNBE,PNBE
DNR ,DNR 
KWO ,KWO 
DMRX,DMRX
NAT ,NAT 
KPRD,KPRD
RPUR,RPUR
MSDN,MSDN
UREN,UREN
DNRE,DNRE
PHK ,PHK 
ANVT,ANVT
GZB ,GZB 
MTC ,MTC 
MOZ ,MOZ 
SRE ,SRE 
UMB ,UMB 
LDH ,LDH 
JRC ,JRC 
PTKC,PTKC
JAT ,JAT 
UHP ,UHP 
SVDK,SVDK
BE  ,BE  
MB  ,MB  
NDLS,NDLS
DBG ,DBG 
SPJ ,SPJ 
MFP ,MFP 
HJP ,HJP 
CPR ,CPR 
SV  ,SV  
DEOS,DEOS
DLI ,DLI 
DEE ,DEE 
ROK ,ROK 
JIND,JIND
NRW ,NRW 
JHL ,JHL 
DUI ,DUI 
BJU ,BJU 
BKN ,BKN 
NPS ,NPS 
SDF ,SDF 
SDGH,SDGH
RJR ,RJR 
RTGH,RTGH
CUR ,CUR 
SDLP,SDLP
LHU ,LHU 
MHRG,MHRG
RE  ,RE  
DSA ,DSA 
BTU ,BTU 
SMQL,SMQL
TPZ ,TPZ 
RK  ,RK  
HW  ,HW  
JU  ,JU  
RKB ,RKB 
MMY ,MMY 
TIW ,TIW 
OSN ,OSN 
MWT ,MWT 
PLCJ,PLCJ
RDRA,RDRA
AQG ,AQG 
SBLT,SBLT
JSM ,JSM 
JUD ,JUD 
CDG ,CDG 
RPAR,RPAR
NLDM,NLDM
BSB ,BSB 
SLN ,SLN 
SPN ,SPN 
CC  ,CC  
JAJ ,JAJ 
STL ,STL 
BTT ,BTT 
JSME,JSME
MW  ,MW  
EKMA,EKMA
DGA ,DGA 
SEE ,SEE 
DES ,DES 
MNO ,MNO 
SPP ,SPP 
MOG ,MOG 
VPDA,VPDA
BCA ,BCA 
KLD ,KLD 
THE ,THE 
TOI ,TOI 
POU ,POU 
RKL ,RKL 
CPJ ,CPJ 
MUR ,MUR 
BBK ,BBK 
BNZ ,BNZ 
SCC ,SCC 
APDJ,APDJ
APD ,APD 
TFGN,TFGN
AGMN,AGMN
GKJ ,GKJ 
GUP ,GUP 
DBB ,DBB 
RNY ,RNY 
CGS ,CGS 
GHY ,GHY 
JID ,JID 
CPK ,CPK 
HJI ,HJI 
LKA ,LKA 
LMG ,LMG 
DPU ,DPU 
DMV ,DMV 
BXJ ,BXJ 
SZR ,SZR 
FKG ,FKG 
TTB ,TTB 
MXN ,MXN 
AGI ,AGI 
NMT ,NMT 
SLGR,SLGR
BOJ ,BOJ 
SPK ,SPK 
BFD ,BFD 
NAM ,NAM 
NHK ,NHK 
DJG ,DJG 
NTSK,NTSK
CHB ,CHB 
DBRG,DBRG
MS  ,MS  
TBM ,TBM 
CGL ,CGL 
VM  ,VM  
VRI ,VRI 
TPJ ,TPJ 
DG  ,DG  
KQN ,KQN 
MDU ,MDU 
VPT ,VPT 
SRT ,SRT 
CVP ,CVP 
MEJ ,MEJ 
TEN ,TEN 
MBM ,MBM 
AJJ ,AJJ 
SA  ,SA  
ED  ,ED  
TUP ,TUP 
CBF ,CBF 
PTJ ,PTJ 
PGT ,PGT 
OTP ,OTP 
TCR ,TCR 
AWY ,AWY 
ERN ,ERN 
PER ,PER 
TLGP,TLGP
SRF ,SRF 
ANF ,ANF 
SMET,SMET
SME ,SME 
BDVT,BDVT
TKE ,TKE 
HAS ,HAS 
HLN ,HLN 
MGF ,MGF 
KRNR,KRNR
MYS ,MYS 
KOJ ,KOJ 
DQG ,DQG 
BOE ,BOE 
DGR ,DGR 
ADRA,ADRA
BQA ,BQA 
VSU ,VSU 
MDN ,MDN 
HIJ ,HIJ 
BLS ,BLS 
CTC ,CTC 
CHE ,CHE 
NGNT,NGNT
TEL ,TEL 
KTYM,KTYM
TRVL,TRVL
CNGR,CNGR
KYJ ,KYJ 
QLN ,QLN 
KCVL,KCVL
BGM ,BGM 
GPB ,GPB 
KUD ,KUD 
BWT ,BWT 
KPN ,KPN 
TPT ,TPT 
YLM ,YLM 
TUNI,TUNI
ANV ,ANV 
APT ,APT 
KYM ,KYM 
KVR ,KVR 
NDD ,NDD 
MDR ,MDR 
KMT ,KMT 
MABD,MABD
