Station,PageRank
SSPN,0.0004057618
ACL ,7.24574674665974E-005
BP  ,0.0001738979
BUDM,0.0001738979
RUI ,0.000028983
KLL ,0.0001159319
PRP ,0.0001738979
KAD ,0.0002463554
SBRA,0.000086949
KOTT,1.44914934933195E-005
KFP ,0.000086949
VLR ,0.0001738979
JPH ,0.0001449149
MBS ,7.24574674665974E-005
JTJ ,0.002318639
KSD ,0.0002028809
AXA ,0.000028983
BIC ,0.000028983
RM  ,0.000028983
REM ,0.000028983
GVMR,0.000028983
CKOD,4.34744804799585E-005
KZY ,0.000028983
KOTA,0.0023476219
VPZ ,0.000028983
PAD ,0.0001304234
LR  ,0.000028983
NYY ,0.0002028809
BSDP,0.0001159319
DDN ,0.0005216938
UMR ,0.0005506768
JRK ,7.24574674665974E-005
HAN ,0.0004782193
TLH ,0.0002608469
PRNR,0.000028983
PTNR,4.34744804799585E-005
VRB ,1.44914934933195E-005
LM  ,0.0001304234
VYN ,0.000057966
KMC ,0.0004782193
PRNA,0.000057966
TRT ,0.0002753384
GKC ,0.0001014405
UMRI,0.0002608469
KNHN,0.000028983
GDR ,0.002318639
TLHD,0.0004927108
BHP ,0.0009129641
MZR ,0.0004637278
TRTR,0.0002028809
GIZ ,0.000028983
MGG ,0.000086949
CAG ,0.0001738979
MLU ,1.44914934933195E-005
TTR ,0.0004927108
KNHP,0.000057966
TLHR,0.0001594064
JES ,0.000028983
BLLI,0.000028983
CSN ,0.0006521172
ACLE,0.000028983
TNR ,0.0001159319
JHJ ,0.000028983
RGI ,4.34744804799585E-005
SUA ,0.000028983
PCZ ,0.000057966
BTX ,0.000057966
NKP ,0.0001449149
LMK ,0.000057966
SLD ,0.0001159319
PPLI,0.000028983
BRTK,0.000057966
SQL ,0.000028983
KFPR,0.000028983
BYHA,1.44914934933195E-005
DDP ,0.000028983
BAK ,0.000028983
PAZ ,0.0002028809
MPR ,0.000028983
KMRD,0.000028983
IZN ,0.000086949
BTV ,0.000057966
TN  ,0.0001449149
SVRP,0.000086949
GK  ,4.34744804799585E-005
RRI ,0.0001159319
KBJ ,0.0004637278
BSRL,0.000028983
NSL ,0.0004057618
APD ,0.000028983
BAE ,0.000028983
BHD ,4.34744804799585E-005
KRL ,0.000057966
KKA ,0.000028983
VKN ,0.0002028809
MLGH,0.0001159319
GMDA,0.000057966
SAGR,0.000057966
WSB ,0.000028983
AZ  ,0.0004202533
HDP ,0.0001159319
GMR ,0.0002608469
MPLR,0.000028983
GAR ,0.0004202533
CPR ,0.0017534707
HD  ,0.0007390662
MPLM,0.000028983
TLO ,1.44914934933195E-005
DHT ,0.000057966
MWK ,0.000028983
GGB ,0.000057966
PMPE,0.000028983
HBD ,0.0007100832
BAKA,0.000028983
USL ,0.0003333044
QLN ,0.0016230473
UJA ,0.0003767788
GMD ,0.000028983
TKB ,0.000028983
KJN ,0.0003188129
PKU ,0.0003622873
KSRA,0.0003477958
BLDI,0.0001738979
PDW ,0.000086949
KYQ ,0.0013042344
ATUL,0.000028983
DLR ,0.0001883894
DQG ,0.0004782193
ROP ,0.000086949
BIR ,1.44914934933195E-005
PIA ,0.000086949
GUU ,0.000028983
TXD ,0.000028983
GHD ,0.0004782193
MPL ,0.0001449149
JACN,0.000028983
BSR ,0.0013622004
MJG ,0.0001304234
RTM ,0.0018404197
BCY ,0.0003912703
ZB  ,0.0002318639
MLI ,0.000028983
BLL ,0.000057966
KKAH,0.000057966
CNH ,0.000057966
MW  ,0.0002463554
VEN ,0.000028983
GOH ,0.0001304234
